id,score,company,title,location,salary,date_posted,source,status,url
72,77,Amazon Web Services (AWS),Software Engineer,"Sydney, New South Wales",,2026-07-21,linkedin,rejected,https://www.linkedin.com/jobs/view/4443029595
3849,67,Westpac Group,Data Engineer (Big Data & Azure Cloud),"Sydney, New South Wales",,2026-08-07,linkedin,rejected,https://www.linkedin.com/jobs/view/4423346035
1396,67,Microsoft,Software Engineer II - Organic Growth,"Sydney, New South Wales",,2026-07-30,linkedin,applied,https://www.linkedin.com/jobs/view/4446766463
5274,66,Amazon Web Services (AWS),"Software Development Engineer, AWS Networks","Sydney, New South Wales",,2026-08-11,linkedin,new,https://www.linkedin.com/jobs/view/4443041334
4848,65,Airwallex,"Software Engineer, Yield","Sydney, New South Wales",,2026-08-10,linkedin,new,https://www.linkedin.com/jobs/view/4356480435
4855,65,Airwallex,"Software Engineer, Spend","Melbourne, Victoria",,2026-08-10,linkedin,new,https://www.linkedin.com/jobs/view/4412009602
5276,64,Curtin University,Software Engineer,"Perth, Western Australia",,2026-08-11,linkedin,new,https://www.linkedin.com/jobs/view/4452470402
48,64,Resmed,Graduate Software Engineer,"Sydney, New South Wales",,2026-07-21,linkedin,new,https://www.linkedin.com/jobs/view/4414656386
4607,63,AI Talent,Full Stack Engineer,"Sydney, New South Wales",,2026-08-10,linkedin,new,https://www.linkedin.com/jobs/view/4451113091
3980,63,Bright Network Consulting,Data Engineering Intern,(Remote),,2026-08-07,linkedin,rejected,https://www.linkedin.com/jobs/view/4449231354
2901,63,Boeing,Software Engineer - Developer,"Brisbane, Queensland",,2026-08-05,linkedin,rejected,https://www.linkedin.com/jobs/view/4448048129
5161,62,Mitti by SafetyCulture,Software Engineer II - Integrations,"Sydney, New South Wales",,2026-08-11,linkedin,new,https://www.linkedin.com/jobs/view/4451608488
4648,62,EPAM Systems,Solutions Architect (AI Native SDLC),Unknown,,2026-08-10,linkedin,new,https://www.linkedin.com/jobs/view/4451100224
